Timestamp,ExternalTemp,Setpoint,InternalTemp,Output
2018-01-26 19:18:07,225,225,0,10
2018-01-26 19:18:37,225,225,0,10
2018-01-26 19:19:07,225,225,0,10
2018-01-26 19:19:37,225,225,0,10
2018-01-26 19:20:07,225,225,0,10
2018-01-26 19:20:37,225,225,0,10
2018-01-26 19:21:07,225,225,0,10
2018-01-26 19:21:37,225,225,0,10
2018-01-26 19:22:07,225,225,0,10
2018-01-26 19:22:37,225,225,0,10
2018-01-26 19:23:07,225,225,0,10
2018-01-26 19:23:37,225,225,0,10
2018-01-26 19:24:07,225,225,0,10
2018-01-26 19:24:38,225,225,0,10
2018-01-26 19:25:08,225,225,0,10
2018-01-26 19:25:38,225,225,0,10
2018-01-26 19:26:08,225,225,0,10
2018-01-26 19:26:38,225,225,0,10
2018-01-26 19:27:08,225,225,0,10
2018-01-26 19:27:38,225,225,0,10
2018-01-26 19:28:08,225,225,0,10
2018-01-26 19:28:38,225,225,0,10
2018-01-26 19:29:08,225,225,0,10
2018-01-26 19:29:38,225,225,0,10
2018-01-26 19:30:08,225,225,0,10
2018-01-26 19:30:38,225,225,0,10
2018-01-26 19:31:08,225,225,0,10
2018-01-26 19:31:38,225,225,0,10
2018-01-26 19:32:08,225,225,0,10
2018-01-26 19:32:38,225,225,0,10
2018-01-26 19:33:08,225,225,0,10
2018-01-26 19:33:38,225,225,0,10
2018-01-26 19:34:08,225,225,0,10
2018-01-26 19:34:38,225,225,0,10
2018-01-26 19:35:08,225,225,0,10
2018-01-26 19:35:38,225,225,0,10
2018-01-26 19:36:08,225,225,0,10
2018-01-26 19:36:38,225,225,0,10
2018-01-26 19:37:08,225,225,0,10
2018-01-26 19:37:38,225,225,0,10
2018-01-26 19:38:08,225,225,0,10
2018-01-26 19:38:38,225,225,0,10
2018-01-26 19:39:08,225,225,0,10
2018-01-26 19:39:38,225,225,0,10
2018-01-26 19:40:09,225,225,0,10
2018-01-26 19:40:39,225,225,0,10
2018-01-26 19:41:09,225,225,0,10
2018-01-26 19:41:39,225,225,0,10
2018-01-26 19:42:09,225,225,0,10
2018-01-26 19:42:39,225,225,0,10
2018-01-26 19:43:09,225,225,0,10
2018-01-26 19:43:39,225,225,0,10
2018-01-26 19:44:09,225,225,0,10
2018-01-26 19:44:39,225,225,0,10
2018-01-26 19:45:09,225,225,0,10
2018-01-26 19:45:39,225,225,0,10
2018-01-26 19:46:09,225,225,0,10
2018-01-26 19:46:39,225,225,0,10
2018-01-26 19:47:09,225,225,0,10
2018-01-26 19:47:39,225,225,0,10
2018-01-26 19:48:09,225,225,0,10
2018-01-26 19:48:39,225,225,0,10
2018-01-26 19:49:09,225,225,0,10
2018-01-26 19:49:39,225,225,0,10
2018-01-26 19:50:09,225,225,0,10
2018-01-26 19:50:39,225,225,0,10
2018-01-26 19:51:09,225,225,0,10
2018-01-26 19:51:39,225,225,0,10
2018-01-26 19:52:09,225,225,0,10
2018-01-26 19:52:39,225,225,0,10
2018-01-26 19:53:09,225,225,0,10
2018-01-26 19:53:39,225,225,0,10
2018-01-26 19:54:09,225,225,0,10
2018-01-26 19:54:40,225,225,0,10
2018-01-26 19:55:10,225,225,0,10
2018-01-26 19:55:40,225,225,0,10
2018-01-26 19:56:10,225,225,0,10
2018-01-26 19:56:40,225,225,0,10
2018-01-26 19:57:10,225,225,0,10
2018-01-26 19:57:40,225,225,0,10
2018-01-26 19:58:10,225,225,0,10
2018-01-26 19:58:40,225,225,0,10
2018-01-26 19:59:10,225,225,0,10
2018-01-26 19:59:40,225,225,0,10
2018-01-26 20:00:10,225,225,0,10
2018-01-26 20:00:40,225,225,0,10
2018-01-26 20:01:10,225,225,0,10
2018-01-26 20:01:40,225,225,0,10
2018-01-26 20:02:10,225,225,0,10
2018-01-26 20:02:40,225,225,0,10
2018-01-26 20:03:10,225,225,0,10
2018-01-26 20:03:40,225,225,0,10
2018-01-26 20:04:10,225,225,0,10
2018-01-26 20:04:40,225,225,0,10
2018-01-26 20:05:10,225,225,0,10
