Timestamp,ExternalTemp,Setpoint,InternalTemp,Output
2017-10-18 23:16:28 ,200,225,0,100
2017-10-18 23:16:59 ,200,225,0,100
2017-10-18 23:17:30 ,200,225,0,100
2017-10-18 23:18:02 ,200,225,0,100
2017-10-18 23:18:33 ,200,225,0,100
2017-10-18 23:19:04 ,200,225,0,100
2017-10-18 23:19:35 ,200,225,0,100
2017-10-18 23:20:07 ,200,225,0,100
2017-10-18 23:20:38 ,200,225,0,100
2017-10-18 23:21:09 ,200,225,0,100
2017-10-18 23:21:41 ,200,225,0,100
2017-10-18 23:22:12 ,200,225,0,100
2017-10-18 23:22:43 ,200,225,0,100
2017-10-18 23:23:15 ,200,225,0,100
2017-10-18 23:23:46 ,200,225,0,100
2017-10-18 23:24:17 ,200,225,0,100
2017-10-18 23:24:49 ,200,225,0,100
2017-10-18 23:25:20 ,200,225,0,100
2017-10-18 23:25:51 ,200,225,0,100
2017-10-18 23:26:22 ,200,225,0,100
2017-10-18 23:26:54 ,200,225,0,100
2017-10-18 23:27:25 ,200,225,0,100
2017-10-18 23:27:56 ,200,225,0,100
2017-10-18 23:28:28 ,200,225,0,100
2017-10-18 23:28:59 ,200,225,0,100
2017-10-18 23:29:30 ,200,225,0,100
2017-10-18 23:30:02 ,200,225,0,100
2017-10-18 23:30:33 ,200,225,0,100
2017-10-18 23:31:04 ,200,225,0,100
2017-10-18 23:31:36 ,200,225,0,100
2017-10-18 23:32:07 ,200,225,0,100
2017-10-18 23:32:38 ,200,225,0,100
2017-10-18 23:33:10 ,200,225,0,100
2017-10-18 23:33:41 ,200,225,0,100
2017-10-18 23:34:12 ,200,225,0,100
2017-10-18 23:34:44 ,200,225,0,100
2017-10-18 23:35:15 ,200,225,0,100
2017-10-18 23:35:46 ,200,225,0,100
2017-10-18 23:36:18 ,200,225,0,100
2017-10-18 23:36:49 ,200,225,0,100
2017-10-18 23:37:20 ,200,225,0,100
2017-10-18 23:37:51 ,200,225,0,100
2017-10-18 23:38:23 ,200,225,0,100
2017-10-18 23:38:54 ,200,225,0,100
2017-10-18 23:39:25 ,200,225,0,100
2017-10-18 23:39:57 ,200,225,0,100
2017-10-18 23:40:28 ,200,225,0,100
2017-10-18 23:40:59 ,200,225,0,100
2017-10-18 23:41:31 ,200,225,0,100
2017-10-18 23:42:02 ,200,225,0,100
2017-10-18 23:42:33 ,200,225,0,100
2017-10-18 23:43:05 ,200,225,0,100
2017-10-18 23:43:36 ,200,225,0,100
2017-10-18 23:44:07 ,200,225,0,100
2017-10-18 23:44:39 ,200,225,0,100
2017-10-18 23:45:10 ,200,225,0,100
2017-10-18 23:45:41 ,200,225,0,100
2017-10-18 23:46:12 ,200,225,0,100
2017-10-18 23:46:43 ,200,225,0,100
2017-10-18 23:47:15 ,200,225,0,100
2017-10-18 23:47:46 ,200,225,0,100
2017-10-18 23:48:17 ,200,225,0,100
2017-10-18 23:48:49 ,200,225,0,100
2017-10-18 23:49:20 ,200,225,0,100
2017-10-18 23:49:51 ,200,225,0,100
2017-10-18 23:50:23 ,200,225,0,100
2017-10-18 23:50:54 ,200,225,0,100
2017-10-18 23:51:25 ,200,225,0,100
2017-10-18 23:51:56 ,200,225,0,100
2017-10-18 23:52:28 ,200,225,0,100
2017-10-18 23:52:59 ,200,225,0,100
2017-10-18 23:53:30 ,200,225,0,100
2017-10-18 23:54:02 ,200,225,0,100
2017-10-18 23:54:33 ,200,225,0,100
2017-10-18 23:55:05 ,200,225,0,100
2017-10-18 23:55:36 ,200,225,0,100
2017-10-18 23:56:07 ,200,225,0,100
2017-10-18 23:56:39 ,200,225,0,100
2017-10-18 23:57:10 ,200,225,0,100
2017-10-18 23:57:41 ,200,225,0,100
2017-10-18 23:58:13 ,200,225,0,100
2017-10-18 23:58:44 ,200,225,0,100
2017-10-18 23:59:15 ,200,225,0,100
2017-10-18 23:59:47 ,200,225,0,100
2017-10-19 00:00:18 ,200,225,0,100
2017-10-19 00:00:49 ,200,225,0,100
2017-10-19 00:01:21 ,200,225,0,100
2017-10-19 00:01:53 ,200,225,0,100
2017-10-19 00:02:24 ,200,225,0,100
2017-10-19 00:02:56 ,200,225,0,100
2017-10-19 00:03:27 ,200,225,0,100
2017-10-19 00:03:59 ,200,225,0,100
2017-10-19 00:04:31 ,200,225,0,100
2017-10-19 00:05:02 ,200,225,0,100
2017-10-19 00:05:33 ,200,225,0,100
2017-10-19 00:06:06 ,200,225,0,100
2017-10-19 00:06:37 ,200,225,0,100
2017-10-19 00:07:08 ,200,225,0,100
2017-10-19 00:07:39 ,200,225,0,100
2017-10-19 00:08:12 ,200,225,0,100
2017-10-19 00:08:43 ,200,225,0,100
2017-10-19 00:09:15 ,200,225,0,100
2017-10-19 00:09:46 ,200,225,0,100
2017-10-19 00:10:18 ,200,225,0,100
2017-10-19 00:10:49 ,200,225,0,100
2017-10-19 00:11:20 ,200,225,0,100
2017-10-19 00:11:52 ,200,225,0,100
2017-10-19 00:12:23 ,200,225,0,100
2017-10-19 00:12:54 ,200,225,0,100
2017-10-19 00:13:26 ,200,225,0,100
2017-10-19 00:13:57 ,200,225,0,100
2017-10-19 00:14:28 ,200,225,0,100
2017-10-19 00:15:00 ,200,225,0,100
2017-10-19 00:15:31 ,200,225,0,100
2017-10-19 00:16:02 ,200,225,0,100
2017-10-19 00:16:33 ,200,225,0,100
2017-10-19 00:17:05 ,200,225,0,100
2017-10-19 00:17:36 ,200,225,0,100
2017-10-19 00:18:07 ,200,225,0,100
2017-10-19 00:18:39 ,200,225,0,100
2017-10-19 00:19:10 ,200,225,0,100
2017-10-19 00:19:41 ,200,225,0,100
2017-10-19 00:20:13 ,200,225,0,100
2017-10-19 00:20:44 ,200,225,0,100
2017-10-19 00:21:15 ,200,225,0,100
2017-10-19 00:21:47 ,200,225,0,100
2017-10-19 00:22:18 ,200,225,0,100
2017-10-19 00:22:50 ,200,225,0,100
2017-10-19 00:23:21 ,200,225,0,100
2017-10-19 00:23:53 ,200,225,0,100
2017-10-19 00:24:24 ,200,225,0,100
2017-10-19 00:24:55 ,200,225,0,100
2017-10-19 00:25:27 ,200,225,0,100
2017-10-19 00:25:58 ,200,225,0,100
2017-10-19 00:26:29 ,200,225,0,100
2017-10-19 00:27:01 ,200,225,0,100
2017-10-19 00:27:32 ,200,225,0,100
2017-10-19 00:28:03 ,200,225,0,100
2017-10-19 00:28:35 ,200,225,0,100
2017-10-19 00:29:06 ,200,225,0,100
2017-10-19 00:29:37 ,200,225,0,100
2017-10-19 00:30:09 ,200,225,0,100
2017-10-19 00:30:40 ,200,225,0,100
2017-10-19 00:31:11 ,200,225,0,100
2017-10-19 00:31:43 ,200,225,0,100
2017-10-19 00:32:14 ,200,225,0,100
2017-10-19 00:32:45 ,200,225,0,100
2017-10-19 00:33:17 ,200,225,0,100
2017-10-19 00:33:48 ,200,225,0,100
2017-10-19 00:34:19 ,200,225,0,100
2017-10-19 00:34:50 ,200,225,0,100
2017-10-19 00:35:22 ,200,225,0,100
2017-10-19 00:35:53 ,200,225,0,100
2017-10-19 00:36:24 ,200,225,0,100
2017-10-19 00:36:56 ,200,225,0,100
2017-10-19 00:37:27 ,200,225,0,100
2017-10-19 00:37:58 ,200,225,0,100
2017-10-19 00:38:30 ,200,225,0,100
2017-10-19 00:39:01 ,200,225,0,100
2017-10-19 00:39:32 ,200,225,0,100
2017-10-19 00:40:03 ,200,225,0,100
2017-10-19 00:40:35 ,200,225,0,100
2017-10-19 00:41:06 ,200,225,0,100
2017-10-19 00:41:38 ,200,225,0,100
2017-10-19 00:42:09 ,200,225,0,100
2017-10-19 00:42:40 ,200,225,0,100
2017-10-19 00:43:11 ,200,225,0,100
2017-10-19 00:43:43 ,200,225,0,100
2017-10-19 00:44:14 ,200,225,0,100
2017-10-19 00:44:45 ,200,225,0,100
2017-10-19 00:45:17 ,200,225,0,100
2017-10-19 00:45:48 ,200,225,0,100
2017-10-19 00:46:19 ,200,225,0,100
2017-10-19 00:46:51 ,200,225,0,100
2017-10-19 00:47:22 ,200,225,0,100
2017-10-19 00:47:53 ,200,225,0,100
2017-10-19 00:48:25 ,200,225,0,100
2017-10-19 00:48:56 ,200,225,0,100
2017-10-19 00:49:27 ,200,225,0,100
2017-10-19 00:49:59 ,200,225,0,100
2017-10-19 00:50:30 ,200,225,0,100
2017-10-19 00:51:02 ,200,225,0,100
2017-10-19 00:51:33 ,200,225,0,100
2017-10-19 00:52:04 ,200,225,0,100
2017-10-19 00:52:35 ,200,225,0,100
2017-10-19 00:53:06 ,200,225,0,100
2017-10-19 00:53:38 ,200,225,0,100
2017-10-19 00:54:09 ,200,225,0,100
2017-10-19 00:54:41 ,200,225,0,100
2017-10-19 00:55:12 ,200,225,0,100
2017-10-19 00:55:43 ,200,225,0,100
2017-10-19 00:56:15 ,200,225,0,100
2017-10-19 00:56:46 ,200,225,0,100
2017-10-19 00:57:17 ,200,225,0,100
2017-10-19 00:57:50 ,200,225,0,100
2017-10-19 00:58:21 ,200,225,0,100
2017-10-19 00:58:53 ,200,225,0,100
2017-10-19 00:59:24 ,200,225,0,100
2017-10-19 00:59:56 ,200,225,0,100
2017-10-19 01:00:28 ,200,225,0,100
2017-10-19 01:00:59 ,200,225,0,100
2017-10-19 01:01:30 ,200,225,0,100
2017-10-19 01:02:03 ,200,225,0,100
2017-10-19 01:02:34 ,200,225,0,100
2017-10-19 01:03:05 ,200,225,0,100
2017-10-19 01:03:37 ,200,225,0,100
2017-10-19 01:04:09 ,200,225,0,100
2017-10-19 01:04:40 ,200,225,0,100
2017-10-19 01:05:12 ,200,225,0,100
2017-10-19 01:05:43 ,200,225,0,100
2017-10-19 01:06:14 ,200,225,0,100
2017-10-19 01:06:46 ,200,225,0,100
2017-10-19 01:07:17 ,200,225,0,100
2017-10-19 01:07:48 ,200,225,0,100
2017-10-19 01:08:20 ,200,225,0,100
2017-10-19 01:08:51 ,200,225,0,100
2017-10-19 01:09:23 ,200,225,0,100
2017-10-19 01:09:54 ,200,225,0,100
2017-10-19 01:10:26 ,200,225,0,100
2017-10-19 01:10:57 ,200,225,0,100
2017-10-19 01:11:29 ,200,225,0,100
2017-10-19 01:12:00 ,200,225,0,100
2017-10-19 01:12:31 ,200,225,0,100
2017-10-19 01:13:02 ,200,225,0,100
2017-10-19 01:13:34 ,200,225,0,100
2017-10-19 01:14:05 ,200,225,0,100
2017-10-19 01:14:36 ,200,225,0,100
2017-10-19 01:15:08 ,200,225,0,100
2017-10-19 01:15:39 ,200,225,0,100
2017-10-19 01:16:10 ,200,225,0,100
2017-10-19 01:16:42 ,200,225,0,100
2017-10-19 01:17:13 ,200,225,0,100
2017-10-19 01:17:44 ,200,225,0,100
2017-10-19 01:18:16 ,200,225,0,100
2017-10-19 01:18:47 ,200,225,0,100
2017-10-19 01:19:18 ,200,225,0,100
2017-10-19 01:19:49 ,200,225,0,100
2017-10-19 01:20:21 ,200,225,0,100
2017-10-19 01:20:52 ,200,225,0,100
2017-10-19 01:21:23 ,200,225,0,100
2017-10-19 01:21:55 ,200,225,0,100
2017-10-19 01:22:26 ,200,225,0,100
2017-10-19 01:22:57 ,200,225,0,100
2017-10-19 01:23:29 ,200,225,0,100
2017-10-19 01:24:00 ,200,225,0,100
2017-10-19 01:24:31 ,200,225,0,100
2017-10-19 01:25:03 ,200,225,0,100
2017-10-19 01:25:34 ,200,225,0,100
2017-10-19 01:26:05 ,200,225,0,100
2017-10-19 01:26:36 ,200,225,0,100
2017-10-19 01:27:08 ,200,225,0,100
2017-10-19 01:27:39 ,200,225,0,100
2017-10-19 01:28:11 ,200,225,0,100
2017-10-19 01:28:42 ,200,225,0,100
2017-10-19 01:29:13 ,200,225,0,100
2017-10-19 01:29:44 ,200,225,0,100
